job_title,company_name,location,experience,salary,posted_date,job_summary,job_link,skills
QA Engineer,Lennox Software,"Chennai, Bengaluru, Hyderabad",0-3 Yrs,NOT mentioned,3+ weeks ago,Strong have Knowledge of SDLC principles . Should have excellent debuging capicity and ...,https://www.naukri.com/job-listings-qa-engineer-lennox-software-hyderabad-chennai-bengaluru-0-to-3-years-211119500801,"Automation, Interpersonal skills, Coding, Debugging, Test cases, QA automation, SDLC, Supervision"
QA Engineer,Vizexperts,Bengaluru,0-2 Yrs,NOT mentioned,3+ weeks ago,"Job Description PRIMARY ROLE Reporting to the Engineering Manager, the rol...",https://www.naukri.com/job-listings-qa-engineer-viz-experts-bengaluru-0-to-2-years-270120500341,"Software testing, Linux, Analytical, Black Box Testing, Test execution, Test planning, Windows, Test cases"
Junior QA Engineer,Retailcloud,"Chennai, Bengaluru, Kolkata, Mumbai, New Delhi, Hyderabad, Pune",0-1 Yrs,NOT mentioned,3+ weeks ago,"Requirements . Bachelors degree in Computer Science, Engineering, or a related field . ...",https://www.naukri.com/job-listings-junior-qa-engineer-retailcloud-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-1-years-080825503426,"QA, Software testing, Retail, Manager Quality Assurance, Manual testing, Analytical, Integration testing, Software development life cycle"
QA Automation Engineer (Fresher) -Walk In Interview,Spire Technologies And Solutions,Bengaluru,22 Nov,NOT mentioned,3 days ago,Walk-In Interview QA Automation Engineer (Fresher) . Passed Out Year: 2024 Year Work Mo...,https://www.naukri.com/job-listings-qa-automation-engineer-fresher-walk-in-interview-spire-technologies-and-solutions-bengaluru-0-to-1-years-191125030418,"QA Automation, Java Selenium, QA Testing, Interviewing, Java, Selenium, Automation, Software testing"
"Associate QA Engineer, Math",Light & Wonder,Bengaluru,0-2 Yrs,NOT mentioned,2 days ago,Non-engineer roles that are primarily performing audits and tests of software products ...,https://www.naukri.com/job-listings-associate-qa-engineer-math-light-and-wonder-bengaluru-0-to-2-years-201125026821,"software testing, regression testing, automation testing, cucumber, documentation, manual testing, quality assurance engineering, selenium webdriver"
Associate QA Engineer,PLAYSIMPLE,Bengaluru,0-1 Yrs,NOT mentioned,3+ weeks ago,". You were involved with such a role at a previous organization, preferably linked to s...",https://www.naukri.com/job-listings-associate-qa-engineer-playsimple-games-bengaluru-0-to-1-years-220925500799,"Quality Analyst, Debugging, Test planning, QA Associate, Bug reporting, Test cases, Continuous improvement, Gaming"
Quality Analyst,Reboot Xp,"Chennai, Bengaluru, Kolkata, Mumbai, New Delhi, Hyderabad, Pune",0-3 Yrs,NOT mentioned,3+ weeks ago,reboot XP is looking for Quality Analyst to join our dynamic team and embark on a rewar...,https://www.naukri.com/job-listings-quality-analyst-reboot-xp-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-3-years-260924503922,"project management, quality control, quality audit, software testing, iso, problem solving, process improvement, strategic planning"
Quality Analyst,Teleperformance (TP),Bengaluru,0-9 Yrs,NOT mentioned,3+ weeks ago,"Requirements for this role include a strong attention to detail, experience with qualit...",https://www.naukri.com/job-listings-quality-analyst-teleperformance-global-services-bengaluru-0-to-9-years-260725501616,"project management, quality control, quality audit, software testing, iso, problem solving, process improvement, strategic planning"
Quality Assurance Engineer,Glean,Bengaluru,0-2 Yrs,NOT mentioned,3+ weeks ago,Proven 1 years of experience as a Manual Tester testing responsive web pages . Experien...,https://www.naukri.com/job-listings-quality-assurance-engineer-glean-bengaluru-0-to-2-years-130223501607,"RCA, Manual testing, Manager Quality Assurance, GCP, Analytical, Agile, JIRA, SQL"
QA Tester,Appzoc,Bengaluru,0-2 Yrs,NOT mentioned,3+ weeks ago,AppZoc is looking for QA Tester to join our dynamic team and embark on a rewarding care...,https://www.naukri.com/job-listings-qa-tester-appzoc-bengaluru-0-to-2-years-240125500965,"software testing, regression testing, automation testing, test cases, manual testing, software quality, selenium webdriver, functional testing"
Quality Assurance Engineer,Episteme Soft,Bengaluru,0-2 Yrs,NOT mentioned,,,https://www.naukri.com/job-listings-quality-assurance-engineer-episteme-soft-pvt-ltd-bengaluru-0-to-2-years-011217500651,", , , , , , , "
,,,,,,,https://www.naukri.com/job-listings-full-stack-net-developer-ti-steps-hyderabad-chennai-bengaluru-0-to-1-years-201125015581,", , , , , , , "
,,,,,,,https://www.naukri.com/job-listings-java-full-stack-developer-ti-steps-hyderabad-chennai-bengaluru-0-to-1-years-211125023464,", , , , , , , "
,,,,,,,https://www.naukri.com/job-listings-java-technical-lead-ti-steps-hyderabad-chennai-bengaluru-0-to-2-years-211125022400,", , , , , , , "
,,,,,,,https://www.naukri.com/job-listings-java-architect-ti-steps-hyderabad-chennai-bengaluru-0-to-2-years-211125022312,", , , , , , , "
,,,,,,,https://www.naukri.com/job-listings-java-architect-ti-steps-hyderabad-chennai-bengaluru-0-to-2-years-211125022274,", , , , , , , "
,,,,,,,https://www.naukri.com/job-listings-java-developer-ti-steps-hyderabad-chennai-bengaluru-0-to-2-years-211125021504,", , , , , , , "
,,,,,,,https://www.naukri.com/job-listings-java-technical-lead-ti-steps-hyderabad-chennai-bengaluru-0-to-2-years-211125021369,", , , , , , , "
,,,,,,,https://www.naukri.com/job-listings-java-technical-lead-ti-steps-hyderabad-chennai-bengaluru-0-to-2-years-211125021314,", , , , , , , "
,,,,,,,https://www.naukri.com/job-listings-java-full-stack-developer-ti-steps-hyderabad-chennai-bengaluru-0-to-1-years-211125020929,", , , , , , , "
